16/08/2023 - 09:32:01 PM	FANCA(Joining/Connecting) connected from the server
16/08/2023 - 09:34:09 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:09 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:09 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:19 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:19 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:19 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:29 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:29 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:29 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:33 PM	Роман Карман(Гражданин) used 'ledscreen'
16/08/2023 - 09:34:35 PM	Saldeni(Joining/Connecting) connected from the server
16/08/2023 - 09:34:36 PM	Роман Карман(Гражданин) used 'ledscreen'
16/08/2023 - 09:34:39 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:39 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:39 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:46 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:48 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:48 PM	FANCA(Гражданин) used 'ledscreen'
16/08/2023 - 09:34:49 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:49 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:49 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:51 PM	💀 SCP-173 💀(UA)(Гражданин) said 'демка есть'
16/08/2023 - 09:34:53 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:59 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:59 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:34:59 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:03 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:09 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:09 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:09 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:10 PM	vadimhalo(Joining/Connecting) connected from the server
16/08/2023 - 09:35:13 PM	💀 SCP-173 💀(UA)(Гражданин) said '/calladmin'
16/08/2023 - 09:35:13 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:19 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:19 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:19 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:22 PM	Роман Карман(Гражданин) used 'ledscreen'
16/08/2023 - 09:35:23 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:25 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:27 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:27 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:29 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:29 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:29 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:31 PM	vadimhalo(Гражданин) said '!menu'
16/08/2023 - 09:35:31 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:33 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:35 PM	vadimhalo(Гражданин) used ULX command ' unban STEAM_0:0:586975567'
16/08/2023 - 09:35:39 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:39 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:39 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:41 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:43 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:49 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:49 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:49 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:51 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:53 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:59 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:59 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:35:59 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:01 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:03 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:09 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:09 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:09 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:11 PM	vadimhalo(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:13 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:15 PM	Saldeni(Гражданин) said '/adminpocsilnij'
16/08/2023 - 09:36:15 PM	Saldeni(Посыльный ГСР) changed his team from 'Гражданин' to 'Посыльный ГСР'
16/08/2023 - 09:36:19 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:19 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:19 PM	Saldeni(Посыльный ГСР) said '/me получил посылку'
16/08/2023 - 09:36:19 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:36:21 PM	vadimhalo(Гражданин) entered 'discs_request'
